_id,image_urls,name,description,price,compare_at_price
11,"product_details\images\64e3332e495b64b5a19bcd52_product_image-af86gl-8877.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass3-0734.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass4-7849.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass5-4025.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass1-4744.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass2-6937.png",8.5 Liters Air Fryer Transparent,<p>FRAGILE ITEM DELIVERY ONLY INSIDE KATHMANDU VALLEY</p><p>Power Wattage: 2400W&nbsp;</p><p>Timer Functionality : (1 minutes to 60 minutes)</p><p>Top Sided Digital Display</p><p>Touch Control</p><p>1 free tray included</p><p>1 year Warranty&nbsp;</p><p>Basket Size: 210mm x 210mm x 240mm</p>,10999,12000
12,product_details\images\64e33537495b64b5a19bd092_product_image-3in1bf-5192.png,"Breakfast Oven, Coffee maker and grill",<p>Brand: Silver Crest</p>,5500,0
13,"product_details\images\64e33618495b64b5a19bd198_product_image-deh-8634.png, product_details\images\64e33618495b64b5a19bd198_product_image-deh-1891.png",Food Dehydrator ( Sukuti Maker),<p>Dehydrate all types of food.</p>,5800,0
14,"product_details\images\65127eab977e7dfd284282aa_product_image-od2-2215.png, product_details\images\65127eab977e7dfd284282aa_product_image-od3-9057.png, product_details\images\65127eab977e7dfd284282aa_product_image-od1-6822.png, product_details\images\65127eab977e7dfd284282aa_product_image-od4-4960.png, product_details\images\65127eab977e7dfd284282aa_product_image-od5-1648.png, product_details\images\65127eab977e7dfd284282aa_product_image-od6-8152.png",Oil Spray Glass Bottle 100ml Capacity,"<ul><li>Material: Glass&nbsp;</li><li>Colors:&nbsp;&nbsp;Silver, Gold, Rose Gold</li><li>100ML capacity</li><li>Long-lasting &amp; durable</li><li>Food-safe &amp; easy to clean.</li><li>Misting spray design</li><li>Versatile liquid storage</li><li>Transparent for easy monitoring</li><li>Leak-proof seal</li><li>Fine mist for portion control</li><li>Ideal for cooking &amp; salad dressing</li><li>Package: 1 x 100ML Bottle</li></ul><p>Crafted from superior materials for long-lasting durability and resistance to wear. Easy-to-clean, robust. Innovative misting mechanism replaces traditional basting brushes, optimizing your cooking experience for frying, grilling, baking, and more. Versatile enough to contain olive oil, dressings, citrus juices, vinegars, or even a dash of your favorite wine. See-through construction allows for effortless monitoring of liquid levels. Engineered for convenience, design ensures a leak-free experience. Utilizes cutting-edge manufacturing techniques for an extended lifespan. With its fine mist spray, this dispenser ensures even distribution of liquids, aiding in portion control and a healthier lifestyle. Ideal for a variety of culinary activities including dressing salads, baking, sautÃ©ing, and barbecuing.</p><p>One Full Refill delivers ~ 850 sprays</p><p>Equating to 1 Calorie per spray.</p>",250,380
15,"product_details\images\6562d4f87dd200b6f3983844_product_image-o1cn01rwkq0g1wvo3j1ei34_!!2212400142851-0-cib-9451.png, product_details\images\6562d4f87dd200b6f3983844_product_image-o1cn019or8kf1nyfew9l5fn_!!2216844661638-0-cib-5576.png, product_details\images\6562d4f87dd200b6f3983844_product_image-imagetranslated-(74)-4058.png, product_details\images\6562d4f87dd200b6f3983844_product_image-imagetranslated-(73)-1171.png, product_details\images\6562d4f87dd200b6f3983844_product_image-imagetranslated-(72)-6352.png, product_details\images\6562d4f87dd200b6f3983844_product_image-o1cn012cetgv1zkmykqgmsw_!!2211636086695-0-cib-3763.png",7L Air Fryer,"<h2>Product Description:</h2><p>Rated Power: 1400W</p><p>Inner Material: Teflon</p><p>Product dimensions: 25*25*32cm</p><p><img src=""https://cdn.blanxer.com/uploads/6405c139eb97bb873bf8f350/product_description-frame-66-(1)-5870.png""></p>",6999,13000
16,"product_details\images\657535af1aea22379ac16a86_product_image-450_humid-0347.png, product_details\images\657535af1aea22379ac16a86_product_image-1-5980.png, product_details\images\657535af1aea22379ac16a86_product_image-2-7506.png, product_details\images\657535af1aea22379ac16a86_product_image-3-7731.png, product_details\images\657535af1aea22379ac16a86_product_image-4-2505.png",300ML Humidifier for Bedroom Silent Air Humidifier Gentle Night Light Aroma Diffuser Continuous Spray Can Work For Home Car Fragrance,"<ul><li> 300ML capacity for long-lasting use.</li><li>Silent operation for peaceful sleep.</li><li>Gentle night light for added ambiance.</li><li>Aroma diffuser for pleasant fragrance</li><li>Continuous spray for consistent humidity.</li><li>Suitable for home and car use.</li><li>Ideal for bedrooms and small spaces.</li></ul><p>This 300ML Humidifier for Bedroom is a must-have for those who want to improve the air quality in their home or car. With a capacity of 300 ML, this humidifier is perfect for small spaces. The silent air humidifier is equipped with a gentle night light, making it perfect for use in the bedroom. Additionally, it can also be used as an aroma diffuser, providing a continuous spray of fragrance. This humidifier is easy to use and can work for both home and car fragrance. Improve your air quality with this efficient and versatile humidifier.</p>",450,1700
17,"product_details\images\657537021aea22379ac16bec_product_image-11-9788.png, product_details\images\657537021aea22379ac16bec_product_image-12-3185.png, product_details\images\657537021aea22379ac16bec_product_image-16-3013.png, product_details\images\657537021aea22379ac16bec_product_image-13-3364.png, product_details\images\657537021aea22379ac16bec_product_image-14-4112.png, product_details\images\657537021aea22379ac16bec_product_image-15-1981.png",220ML Humidifier Air Freshener Aroma Diffuser Oil Luminous Silent Simple Appliance,"<ul><li>Product name: Neutral humidifier</li><li>Product capacity: 220ml</li><li>Product material: ABS/PP/silicone</li><li>Product size: 80*80*106 mm</li><li>Product net weight: 105g</li><li>Working voltage: 5V</li><li>Rated power: 2W</li><li>Use time: 5-10 hours</li></ul><p>Home Bedroom Large USB Capacity Small Portable Alcohol Humidifier</p><p>Space Saving Design: Vertical oval shape designed for bedroom nightstand and office desk, fitting narrow space for better air wherever you are.</p><p>Whisper-Quiet Operation: This cool mist humidifiers can be used at night without sound of water gurgle or fan noise.</p><p>Dial Knob Control: Selecting the mist output conveniently for full control of the air you breathe.</p><p>Powerful Features: Smart LED indicator, and auto shut-off when water is run out and tank lifted up, surrounding you with clean air evenly and safely.</p><p>Cool Mist: Safely moisturizes the air for up to 8 hours of continuous operation so you can breathe easy and get more restful sleep.</p><p>Dual mode, automatic power failure: full water can be used for 6~8 hours; continuous spray, four hours automatic power off, intermittent spray, six hours automatic power failure.</p><p><br></p><p>Specifications:</p><p>Product name: Neutral humidifier</p><p>Product capacity: 250ml</p><p>Product material: ABS/PP/silicone</p><p>Product size: 80*80*106 mm</p><p>Product net weight: 125g</p><p>Working voltage: 5V</p><p>Rated power: 2W</p><p>Use time: 5-10 hours</p><p>Spray mode: continuous/intermittent, continuous spray, four hours automatic power off, intermittent spray, six hours automatic power off</p><p>Whether to support night light: colorful night light</p><p>Product standard configuration: host cotton swab charging cable</p><p>Applicable environment: desktop / bedroom / car / dormitory / pregnant and infant</p><p><br></p><p>Package Included:</p><p>1*Humidifier</p><p>1*Data cable</p><p>1*absorbent cotton swab</p>",249,799
18,"product_details\images\6575398c1aea22379ac16ee1_product_image-34-6463.png, product_details\images\6575398c1aea22379ac16ee1_product_image-36-8002.png, product_details\images\6575398c1aea22379ac16ee1_product_image-33-8790.png, product_details\images\6575398c1aea22379ac16ee1_product_image-35-5771.png","Cool Humidifier, 420 ml USB Room Diffuser with Night Light, Air Volant Diffuser, Humidifier for Bedroom, Baby Room, Car","<h2>Product details of Cool Humidifier, 420 ml USB Room Diffuser with Night Light, Air Volant Diffuser, Humidifier for Bedroom, Baby Room, Car</h2><ul><li>0.42L capacity for long-lasting use.â€¢ USB-powered for convenient use in any room.â€¢ Night light feature for added ambiance.â€¢ Air Volant Diffuser for efficient humidification.â€¢ Ideal for bedrooms, baby rooms, and cars.</li><li>Large capacity: the liquid water is atomized into micro-sized water particles by ultrasonic vibration. The large volume of 420 ml and the fine spray mist are used to increase the humidity</li><li>Whisper quiet and night light: water evaporator humidifier has a vibrant, colorful bicycle light setting that creates a peaceful atmosphere while providing a soothing mist. It offers you maximum relaxation. The night light could improve your sleep quality</li><li>Waterless automatic switch-off and power supply via USB: Smart humidifier automatically switches off when the water is empty. Powered by a USB cable (interface of computer, laptop, adapter, power bank).</li><li>Two spray modes: the mini humidifier contains two spray modes, namely continuous spraying and intermittent spraying. The longest continuous spray time is 4 hours and the longest intermittent spray time is 6 hours. Energy-saving and water-saving design makes you worry-free</li><li>Widely used: Our humidifier can be conveniently switched on/off and adjust the amount of water mist. The large water tank opening is convenient for filling and cleaning water. Ideal for kids, toddlers, teens, bedrooms, dorms, living rooms, offices, desks, tables, bedside tables, nurseries and plants</li></ul><p><br></p>",414,799
19,"product_details\images\65753c441aea22379ac1712a_product_image-61-0283.png, product_details\images\65753c441aea22379ac1712a_product_image-64-3058.png, product_details\images\65753c441aea22379ac1712a_product_image-62-4985.png, product_details\images\65753c441aea22379ac1712a_product_image-63-1560.png, product_details\images\65753c441aea22379ac1712a_product_image-66-3048.png","300ML Air Diffuser USB Mist Humidifiers Mini Essential Oil Humidifier with 7 Colors Light for Bedroom Baby Room,Functions as an Aroma Diffuser, Humidifier, and Atomizer","<h2>Product details of 300ML Air Diffuser USB Mist Humidifiers Mini Essential Oil Humidifier with 7 Colors Light for Bedroom Baby Room,Functions as an Aroma Diffuser, Humidifier, and Atomizer</h2><ul><li>300ml capacity</li><li>safety protection</li><li>super mute below 26DB</li><li>2 mist modes</li><li>USB power</li><li>LED Mini Humidifier: 300ml capacity is convenient for you to carry, the USB power supply is compatible with any device USB port, ensuring that it can be used in the bedroom, office, car.</li><li>Color Atmosphere Lamp: One-click control all functions, with vivid colored cycling lights, causing a peaceful atmosphere while providing soothing mist.</li><li>2 Mode: Continuous and intermittent mode. In continuous mode, it will automatically turn off after 4 hours. In batch mode, it will automatically turn off it after 6 hours. When the water level is low, it will close.</li><li>Super Quiet: Mini humidifier lowers the noise level for quiet humidification. So it wonâ€™t disturbing your bedtime, working or study.</li><li>Easy to Operate: A button can control all features, just press the power button every 1 second to control the mist. Press and hold the power button for 3 seconds to enable night light and color light.</li></ul><p><br></p>",550,971
20,product_details\images\659a138aefb61ea189669cdd_product_image-msggun-2480.png,Massage Gun With 4 Extension,"<p>ðŸ’ª6 Variable Speed &amp; 4 Massage Heads - The mini massage gun has 6-speed strength levels ranging from 1200 to 3200 rpm, which awakes your whole body muscles, from daily massage to deep massage. 4 interchangeable replacement heads fit your diverse needs and bring you a precision massage experience.</p><p>ðŸ’ªPowerful &amp; Super Quiet - Our massage gun deep tissue has a 30W high-torque motor and quite glide noise reduction technology that brings high power but low noise (35dB - 45dB) experience. You can use it at home, gym and office without causing a disturbance.</p><p>ðŸ’ªPortable &amp; 15 Minutes Auto-Off Protection - This percussion massage gun weighs only 580g, the hand feels light, comfortable to hold. It is designed with a 15 minute auto-off setting to prevent overheating to extend the life of the motor.</p><p>ðŸ’ªHigh Battery Capacity &amp; Type-c Charging - The muscle massage gun is equipped with a 1500mAh high-quality rechargeable lithium battery, that ensures 2-6 hours working time, and only takes 3-4 hours to fully charged. Equipped with a Type-C port that allows it to be charged as quickly and easily as a smartphone.</p><p>ðŸ’ªRelax &amp; Recover - Hand held massager features to relieve you from muscle tightness, soreness and back stiffness, a best way to rejuvenate muscle tissue and recover from body painfulness. The mini massager will help you in relieving fatigue after sports, workout, hiking, and climbing, which also suits for sedentary and postoperative recovery.</p>",1200,2500
21,product_details\images\65f3ed72dc9b7600586cf9a7_product_image-listing1-3277.webp,8L Air Fryer New Year Offer Combo Set,"<p>8L Air Fryer Combo Set<br>20x20cm Silicone Tray<br>12 PCS Spatula Set<br>100ML Oil Spray<br>10 Pcs Cupcake Molds<br>2 PCS Silicone Mitts<br>20cm Stainless Skewer</p><p><br>Air fryer Specification:</p><p><span style=""color: rgb(255, 255, 255)"">Silver Crest 8 Liters Air Fryer </span><br><span style=""color: rgb(255, 255, 255)"">2400W Saves Electricity </span><br><span style=""color: rgb(255, 255, 255)"">Timer Set (5 minutes to 65 minutes)</span><br><span style=""color: rgb(255, 255, 255)"">Temperature Control (80C to 210C)</span><br><span style=""color: rgb(255, 255, 255)"">Delay Adjustment</span><br><span style=""color: rgb(255, 255, 255)"">Warm Function</span><br><span style=""color: rgb(255, 255, 255)"">4 Pre sets</span><br><span style=""color: rgb(255, 255, 255)"">Top Sided Digital Display</span><br><span style=""color: rgb(255, 255, 255)"">Touch Control</span><br><span style=""color: rgb(255, 255, 255)"">1 tray included</span><br><span style=""color: rgb(255, 255, 255)"">1 YEAR Warranty</span><br><span style=""color: rgb(255, 255, 255)"">Colors: Black, White, Blue</span></p>",9999,20000
21,product_details\images\65f3ed7bdc9b7600586cf9dc_product_image-listing2-7902.webp,7L Air Fryer New Year Offer Combo Set,"<p>7L Air Fryer Combo Set<br>20x20cm Silicone Tray<br>12 PCS Spatula Set<br>100ML Oil Spray<br>10 Pcs Cupcake Molds<br>2 PCS Silicone Mitts<br>18cm Stainless Skewer</p><p>Air fryer Specifications:</p><p><span style=""color: rgb(255, 255, 255)"">Silver Crest 7 Liters Air Fryer </span><br><span style=""color: rgb(255, 255, 255)"">2400W Saves Electricity </span><br><span style=""color: rgb(255, 255, 255)"">Timer Set (5 minutes to 60 minutes)</span><br><span style=""color: rgb(255, 255, 255)"">Temperature Control (80C to 200C)</span><br>Knob Temperature timer controls<br><span style=""color: rgb(255, 255, 255)"">1 tray included</span><br><span style=""color: rgb(255, 255, 255)"">1 YEAR Warranty</span><br><span style=""color: rgb(255, 255, 255)"">Colors: White</span></p>",8999,15000
22,product_details\images\65f3edbcdc9b7600586cfad4_product_image-listing3-2903.webp,15L Air Fryer New Year Offer Combo Set,<p>15L Air Fryer Combo Set<br>20x20cm Silicone Tray<br>12 PCS Spatula Set<br>100ML Oil Spray<br>10 Pcs Cupcake Molds<br>2 PCS Silicone Mitts<br>26cm Bread Mold</p><p>Air Fryer Specifications:</p><p>Brand : SGARLETT</p><p>Product Dimensions : 345mm x 285mm x 315mm</p><p>Compartment Size: 210mm x 265mm x 285mm</p><p>Dynamic Temperature and timer control</p><p>Auto Shut off</p><p>Inbuilt light for monitoring</p><p>Two tiered cookware (two cooking tray included)</p><p>12 pre-set menus.</p><p>Rated Power: 1350W </p>,12999,30000
